"UF","Referência","Famílias PBF (até Out/2021)","Famílias PBF (a partir de Mar/2023)","Valor repassado às famílias PBF (até Out/2021)","Valor repassado às famílias PBF (a partir de Mar/2023)","Valor do Benefício médio (até Out/2021)","Valor do Benefício médio (a partir de Mar/2023)"
"SP","09/2023","","63057","","43070808","","683,13"
"SP","08/2023","","62889","","42575817,00","","677,13"
"SP","06/2023","","61767","","43566105","","705,33"
"SP","07/2023","","59971","","40334443,00","","672,71"
"SP","11/2023","","62814","","41802571,0","","668,81"
"SP","03/2023","","65953","","44245844","","673,73"
"SP","04/2023","","59379","","40012240","","676,82"
"SP","05/2023","","61872","","42001114","","678,93"
"SP","10/2023","","63929","","43436371,0","","679,51"
